case_name,geom_name,B1,B2,B3,C1,C2,C3,C4,S1,S2,S3,alt_kft,Re,M_inf,alpha_deg,beta_deg,CD,CL,Cmy
case_0456,geom_045,158.6,71.97,429.1,1000.0,613.7,206.5,66.66,55.16,49.6,36.11,33.7,12050000.0,0.4008,-4.789,0.0,0.00861972,-0.0957065,0.038182
case_0459,geom_045,158.6,71.97,429.1,1000.0,613.7,206.5,66.66,55.16,49.6,36.11,10.79,25290000.0,0.3435,16.73,0.0,0.0497783,0.270732,-0.105482
case_0460,geom_046,176.3,94.84,234.2,1000.0,552.0,271.9,75.27,58.68,45.61,28.63,17.25,18800000.0,0.4338,11.41,0.0,0.0247851,0.186435,-0.0736904
case_0461,geom_046,176.3,94.84,234.2,1000.0,552.0,271.9,75.27,58.68,45.61,28.63,3.636,2171000.0,0.1689,1.567,0.0,0.0101323,0.0298932,-0.0121591
case_0462,geom_046,176.3,94.84,234.2,1000.0,552.0,271.9,75.27,58.68,45.61,28.63,30.12,14270000.0,0.3445,-2.12,0.0,0.00474655,-0.0379151,0.0150743
case_0463,geom_046,176.3,94.84,234.2,1000.0,552.0,271.9,75.27,58.68,45.61,28.63,7.536,54930000.0,0.3066,2.947,0.0,0.00546446,0.0570494,-0.0231382
case_0464,geom_046,176.3,94.84,234.2,1000.0,552.0,271.9,75.27,58.68,45.61,28.63,35.59,11370000.0,0.3778,-9.627,0.0,0.0172677,-0.175072,0.0701892
case_0465,geom_046,176.3,94.84,234.2,1000.0,552.0,271.9,75.27,58.68,45.61,28.63,22.36,16890000.0,0.228,9.209,0.0,0.0175517,0.17193,-0.0696883
case_0466,geom_046,176.3,94.84,234.2,1000.0,552.0,271.9,75.27,58.68,45.61,28.63,15.94,4799000.0,0.06277,-5.518,0.0,0.0231326,-0.100903,0.0411142
case_0467,geom_046,176.3,94.84,234.2,1000.0,552.0,271.9,75.27,58.68,45.61,28.63,24.79,2427000.0,0.106,18.37,0.0,0.0700152,0.313884,-0.130467
case_0468,geom_046,176.3,94.84,234.2,1000.0,552.0,271.9,75.27,58.68,45.61,28.63,11.86,36770000.0,0.2484,6.338,0.0,0.0106225,0.120338,-0.0488003
case_0469,geom_046,176.3,94.84,234.2,1000.0,552.0,271.9,75.27,58.68,45.61,28.63,36.15,28510000.0,0.4735,16.12,0.0,0.062269,0.218007,-0.096593
case_0470,geom_047,110.0,109.8,319.6,1000.0,594.1,182.5,61.59,52.55,47.3,26.96,31.69,7224000.0,0.1761,9.441,0.0,0.0151684,0.144323,-0.0453652
case_0471,geom_047,110.0,109.8,319.6,1000.0,594.1,182.5,61.59,52.55,47.3,26.96,38.55,7263000.0,0.1251,17.17,0.0,0.0449887,0.219195,-0.0699236
case_0472,geom_047,110.0,109.8,319.6,1000.0,594.1,182.5,61.59,52.55,47.3,26.96,16.61,31340000.0,0.3646,16.91,0.0,0.0398587,0.193556,-0.0605727
case_0473,geom_047,110.0,109.8,319.6,1000.0,594.1,182.5,61.59,52.55,47.3,26.96,2.541,21630000.0,0.4881,11.05,0.0,0.0185115,0.159492,-0.0489673
case_0474,geom_047,110.0,109.8,319.6,1000.0,594.1,182.5,61.59,52.55,47.3,26.96,9.347,78450000.0,0.4549,-5.333,0.0,0.00528339,-0.0858477,0.0266995
case_0476,geom_047,110.0,109.8,319.6,1000.0,594.1,182.5,61.59,52.55,47.3,26.96,33.26,6581000.0,0.2242,7.51,0.0,0.0107951,0.116329,-0.0364666
case_0477,geom_047,110.0,109.8,319.6,1000.0,594.1,182.5,61.59,52.55,47.3,26.96,15.71,7141000.0,0.07486,2.719,0.0,0.0137949,0.0437279,-0.0139344
case_0478,geom_047,110.0,109.8,319.6,1000.0,594.1,182.5,61.59,52.55,47.3,26.96,24.87,2608000.0,0.408,-3.425,0.0,0.00664118,-0.0505105,0.0155454
case_0479,geom_047,110.0,109.8,319.6,1000.0,594.1,182.5,61.59,52.55,47.3,26.96,7.503,12630000.0,0.2677,-9.752,0.0,0.0143102,-0.142798,0.044293
case_0480,geom_048,120.3,79.07,583.8,1000.0,704.0,276.8,89.84,55.01,58.31,32.37,22.98,6037000.0,0.1498,-5.693,0.0,0.0152952,-0.1454,0.0650098
case_0481,geom_048,120.3,79.07,583.8,1000.0,704.0,276.8,89.84,55.01,58.31,32.37,8.452,19660000.0,0.1857,-9.992,0.0,0.0219335,-0.257147,0.114386
case_0482,geom_048,120.3,79.07,583.8,1000.0,704.0,276.8,89.84,55.01,58.31,32.37,36.23,795100.0,0.257,2.385,0.0,0.0113359,0.0697228,-0.0316607
case_0483,geom_048,120.3,79.07,583.8,1000.0,704.0,276.8,89.84,55.01,58.31,32.37,18.39,7584000.0,0.3822,1.734,0.0,0.00648104,0.0578971,-0.0266534
case_0484,geom_048,120.3,79.07,583.8,1000.0,704.0,276.8,89.84,55.01,58.31,32.37,5.089,18150000.0,0.2989,18.36,0.0,0.0906898,0.305118,-0.135972
case_0485,geom_048,120.3,79.07,583.8,1000.0,704.0,276.8,89.84,55.01,58.31,32.37,2.182,21520000.0,0.1118,6.629,0.0,0.0195235,0.182899,-0.0826008
case_0487,geom_048,120.3,79.07,583.8,1000.0,704.0,276.8,89.84,55.01,58.31,32.37,31.3,3265000.0,0.05486,-3.24,0.0,0.0263225,-0.0794802,0.0357392
case_0488,geom_048,120.3,79.07,583.8,1000.0,704.0,276.8,89.84,55.01,58.31,32.37,25.91,47400000.0,0.4741,9.071,0.0,0.0206912,0.248959,-0.10982
case_0490,geom_049,167.4,110.4,648.3,1000.0,632.8,198.0,64.7,58.75,55.24,29.96,28.02,9562000.0,0.2211,16.62,0.0,0.0783054,0.317087,-0.157734
case_0491,geom_049,167.4,110.4,648.3,1000.0,632.8,198.0,64.7,58.75,55.24,29.96,10.43,10270000.0,0.1493,1.025,0.0,0.0117522,0.0391829,-0.0212912
case_0492,geom_049,167.4,110.4,648.3,1000.0,632.8,198.0,64.7,58.75,55.24,29.96,15.79,6378000.0,0.3496,-1.27,0.0,0.00902942,-0.0272393,0.0134133
case_0493,geom_049,167.4,110.4,648.3,1000.0,632.8,198.0,64.7,58.75,55.24,29.96,4.074,25190000.0,0.4962,3.764,0.0,0.00744659,0.134363,-0.0723453
case_0494,geom_049,167.4,110.4,648.3,1000.0,632.8,198.0,64.7,58.75,55.24,29.96,26.52,33270000.0,0.3731,9.404,0.0,0.0291472,0.221527,-0.109039
case_0495,geom_049,167.4,110.4,648.3,1000.0,632.8,198.0,64.7,58.75,55.24,29.96,19.09,623000.0,0.05405,7.29,0.0,0.0501092,0.203047,-0.106208
case_0496,geom_049,167.4,110.4,648.3,1000.0,632.8,198.0,64.7,58.75,55.24,29.96,21.3,54530000.0,0.4505,-5.787,0.0,0.00922113,-0.172145,0.0896908
case_0497,geom_049,167.4,110.4,648.3,1000.0,632.8,198.0,64.7,58.75,55.24,29.96,3.439,11400000.0,0.104,17.72,0.0,0.0848366,0.394371,-0.200235
case_0498,geom_049,167.4,110.4,648.3,1000.0,632.8,198.0,64.7,58.75,55.24,29.96,37.83,15050000.0,0.3067,-7.825,0.0,0.0150263,-0.220008,0.113702
case_0499,geom_049,167.4,110.4,648.3,1000.0,632.8,198.0,64.7,58.75,55.24,29.96,33.05,13780000.0,0.2452,13.61,0.0,0.0517383,0.290452,-0.142879
case_0501,geom_050,145.0,104.4,676.3,1000.0,571.2,238.4,82.9,50.6,59.28,25.28,28.29,12450000.0,0.2063,7.728,0.0,0.0198673,0.241301,-0.111082
case_0503,geom_050,145.0,104.4,676.3,1000.0,571.2,238.4,82.9,50.6,59.28,25.28,4.379,30730000.0,0.2971,15.77,0.0,0.077172,0.292874,-0.130519
case_0504,geom_050,145.0,104.4,676.3,1000.0,571.2,238.4,82.9,50.6,59.28,25.28,21.82,3150000.0,0.06692,13.34,0.0,0.0583627,0.357509,-0.161821
case_0505,geom_050,145.0,104.4,676.3,1000.0,571.2,238.4,82.9,50.6,59.28,25.28,1.515,1673000.0,0.4186,19.3,0.0,0.115754,0.345189,-0.160887
case_0506,geom_050,145.0,104.4,676.3,1000.0,571.2,238.4,82.9,50.6,59.28,25.28,24.56,3355000.0,0.234,3.857,0.0,0.0130074,0.126264,-0.0585303
case_0507,geom_050,145.0,104.4,676.3,1000.0,571.2,238.4,82.9,50.6,59.28,25.28,19.61,37670000.0,0.3313,-9.494,0.0,0.0189155,-0.284268,0.128949
case_0508,geom_050,145.0,104.4,676.3,1000.0,571.2,238.4,82.9,50.6,59.28,25.28,36.36,2001000.0,0.09965,-4.082,0.0,0.0200789,-0.112942,0.0512722
case_0509,geom_050,145.0,104.4,676.3,1000.0,571.2,238.4,82.9,50.6,59.28,25.28,14.56,26480000.0,0.175,1.447,0.0,0.0105404,0.0540704,-0.0253627
case_0510,geom_051,166.4,66.48,486.6,1000.0,596.8,248.7,86.25,46.89,43.39,31.57,23.83,13770000.0,0.3947,2.025,0.0,0.0075377,0.0595323,-0.0214132
case_0511,geom_051,166.4,66.48,486.6,1000.0,596.8,248.7,86.25,46.89,43.39,31.57,8.047,8130000.0,0.08545,-3.971,0.0,0.0179854,-0.0947887,0.0336049
case_0512,geom_051,166.4,66.48,486.6,1000.0,596.8,248.7,86.25,46.89,43.39,31.57,35.86,7939000.0,0.1696,14.68,0.0,0.0474749,0.327939,-0.114296
case_0513,geom_051,166.4,66.48,486.6,1000.0,596.8,248.7,86.25,46.89,43.39,31.57,19.71,7339000.0,0.1122,18.3,0.0,0.0809628,0.373466,-0.131649
case_0514,geom_051,166.4,66.48,486.6,1000.0,596.8,248.7,86.25,46.89,43.39,31.57,28.92,20900000.0,0.2906,6.268,0.0,0.0117979,0.169229,-0.0603592
case_0515,geom_051,166.4,66.48,486.6,1000.0,596.8,248.7,86.25,46.89,43.39,31.57,0.8185,16500000.0,0.1928,13.95,0.0,0.0483513,0.313532,-0.109358
case_0516,geom_051,166.4,66.48,486.6,1000.0,596.8,248.7,86.25,46.89,43.39,31.57,14.47,7092000.0,0.3629,8.804,0.0,0.0189038,0.229735,-0.0814061
case_0517,geom_051,166.4,66.48,486.6,1000.0,596.8,248.7,86.25,46.89,43.39,31.57,25.2,884500.0,0.4526,-0.4584,0.0,0.00872377,-0.00600584,0.0017902
case_0518,geom_051,166.4,66.48,486.6,1000.0,596.8,248.7,86.25,46.89,43.39,31.57,7.192,78520000.0,0.4835,-8.83,0.0,0.0176525,-0.22245,0.0767568
case_0520,geom_052,111.0,196.3,295.6,1000.0,698.2,274.1,84.84,41.79,46.22,28.93,11.6,53010000.0,0.498,13.2,0.0,0.0485722,0.242253,-0.085363
case_0522,geom_052,111.0,196.3,295.6,1000.0,698.2,274.1,84.84,41.79,46.22,28.93,22.33,2786000.0,0.1748,-1.299,0.0,0.0105277,-0.0290457,0.00985549
case_0523,geom_052,111.0,196.3,295.6,1000.0,698.2,274.1,84.84,41.79,46.22,28.93,33.34,26260000.0,0.3761,8.646,0.0,0.0169955,0.221153,-0.0770783
case_0524,geom_052,111.0,196.3,295.6,1000.0,698.2,274.1,84.84,41.79,46.22,28.93,6.214,3185000.0,0.05747,1.867,0.0,0.0221826,0.0469173,-0.0165849
case_0525,geom_052,111.0,196.3,295.6,1000.0,698.2,274.1,84.84,41.79,46.22,28.93,29.08,18260000.0,0.1945,19.62,0.0,0.103298,0.35124,-0.13299
case_0527,geom_052,111.0,196.3,295.6,1000.0,698.2,274.1,84.84,41.79,46.22,28.93,2.681,33240000.0,0.4246,4.635,0.0,0.00746443,0.122123,-0.0426761
case_0528,geom_052,111.0,196.3,295.6,1000.0,698.2,274.1,84.84,41.79,46.22,28.93,39.69,4544000.0,0.09937,15.56,0.0,0.0564611,0.357158,-0.124802
case_0529,geom_052,111.0,196.3,295.6,1000.0,698.2,274.1,84.84,41.79,46.22,28.93,27.24,12200000.0,0.2781,-9.073,0.0,0.0192198,-0.220047,0.0761128
case_0530,geom_053,147.6,87.53,230.1,1000.0,728.9,195.2,67.25,44.88,50.34,24.62,33.41,30320000.0,0.3711,17.36,0.0,0.0527459,0.182919,-0.0604847
case_0531,geom_053,147.6,87.53,230.1,1000.0,728.9,195.2,67.25,44.88,50.34,24.62,36.92,544600.0,0.1933,-4.76,0.0,0.0110721,-0.0614363,0.0171142
case_0532,geom_053,147.6,87.53,230.1,1000.0,728.9,195.2,67.25,44.88,50.34,24.62,9.128,15060000.0,0.1808,14.35,0.0,0.0289742,0.187808,-0.0551571
case_0533,geom_053,147.6,87.53,230.1,1000.0,728.9,195.2,67.25,44.88,50.34,24.62,15.02,20280000.0,0.2329,-9.931,0.0,0.0161365,-0.134525,0.038381
case_0534,geom_053,147.6,87.53,230.1,1000.0,728.9,195.2,67.25,44.88,50.34,24.62,30.35,35070000.0,0.4384,0.5874,0.0,0.00313435,0.00992763,-0.00285727
case_0535,geom_053,147.6,87.53,230.1,1000.0,728.9,195.2,67.25,44.88,50.34,24.62,27.04,6806000.0,0.08898,5.158,0.0,0.0149775,0.0730435,-0.0212505
case_0536,geom_053,147.6,87.53,230.1,1000.0,728.9,195.2,67.25,44.88,50.34,24.62,17.59,5622000.0,0.3408,8.564,0.0,0.0118853,0.11952,-0.0337041
case_0537,geom_053,147.6,87.53,230.1,1000.0,728.9,195.2,67.25,44.88,50.34,24.62,5.753,64690000.0,0.4927,12.86,0.0,0.0290225,0.137041,-0.0408684
case_0538,geom_053,147.6,87.53,230.1,1000.0,728.9,195.2,67.25,44.88,50.34,24.62,3.27,6796000.0,0.1081,3.037,0.0,0.0109527,0.0436635,-0.0125739
case_0539,geom_053,147.6,87.53,230.1,1000.0,728.9,195.2,67.25,44.88,50.34,24.62,21.7,13300000.0,0.3164,-2.401,0.0,0.00628048,-0.0316008,0.00863033
case_0540,geom_054,182.5,89.27,377.9,1000.0,602.6,187.9,72.09,55.95,40.01,29.29,17.33,1602000.0,0.2338,6.367,0.0,0.0150706,0.137266,-0.054229
case_0541,geom_054,182.5,89.27,377.9,1000.0,602.6,187.9,72.09,55.95,40.01,29.29,1.879,33990000.0,0.4098,16.52,0.0,0.0674694,0.241861,-0.0997449
case_0542,geom_054,182.5,89.27,377.9,1000.0,602.6,187.9,72.09,55.95,40.01,29.29,20.72,10290000.0,0.3593,3.864,0.0,0.00710895,0.0912384,-0.0362619
case_0543,geom_054,182.5,89.27,377.9,1000.0,602.6,187.9,72.09,55.95,40.01,29.29,26.9,3889000.0,0.2201,-7.4,0.0,0.0160185,-0.152142,0.0594887
case_0544,geom_054,182.5,89.27,377.9,1000.0,602.6,187.9,72.09,55.95,40.01,29.29,31.23,8022000.0,0.1843,12.89,0.0,0.033297,0.254655,-0.099449
case_0545,geom_054,182.5,89.27,377.9,1000.0,602.6,187.9,72.09,55.95,40.01,29.29,39.55,13000000.0,0.3038,-2.933,0.0,0.00650353,-0.060807,0.0235614
case_0546,geom_054,182.5,89.27,377.9,1000.0,602.6,187.9,72.09,55.95,40.01,29.29,13.38,8238000.0,0.06466,10.13,0.0,0.036933,0.216605,-0.0869334
case_0547,geom_054,182.5,89.27,377.9,1000.0,602.6,187.9,72.09,55.95,40.01,29.29,34.91,20210000.0,0.4479,18.87,0.0,0.0909503,0.273451,-0.117638
case_0548,geom_054,182.5,89.27,377.9,1000.0,602.6,187.9,72.09,55.95,40.01,29.29,8.821,79620000.0,0.4767,-6.691,0.0,0.00958273,-0.154742,0.0608546
case_0549,geom_054,182.5,89.27,377.9,1000.0,602.6,187.9,72.09,55.95,40.01,29.29,7.392,20540000.0,0.1222,0.4608,0.0,0.0111404,0.0139083,-0.00575919
case_0550,geom_055,167.0,82.06,292.6,1000.0,795.4,261.8,87.54,46.47,42.99,38.33,20.87,2004000.0,0.06077,3.576,0.0,0.0236996,0.0729769,-0.0251517
case_0551,geom_055,167.0,82.06,292.6,1000.0,795.4,261.8,87.54,46.47,42.99,38.33,7.954,5798000.0,0.272,9.557,0.0,0.0206981,0.188136,-0.0634278
case_0552,geom_055,167.0,82.06,292.6,1000.0,795.4,261.8,87.54,46.47,42.99,38.33,28.18,35790000.0,0.3906,0.6172,0.0,0.00403254,0.0151053,-0.00516669
case_0553,geom_055,167.0,82.06,292.6,1000.0,795.4,261.8,87.54,46.47,42.99,38.33,33.52,13400000.0,0.3197,-7.405,0.0,0.012856,-0.144908,0.048274
case_0554,geom_055,167.0,82.06,292.6,1000.0,795.4,261.8,87.54,46.47,42.99,38.33,9.98,35140000.0,0.4576,13.97,0.0,0.0425878,0.210611,-0.0701314
case_0555,geom_055,167.0,82.06,292.6,1000.0,795.4,261.8,87.54,46.47,42.99,38.33,15.6,14850000.0,0.1124,-1.901,0.0,0.0120751,-0.0352992,0.0118277
case_0556,geom_055,167.0,82.06,292.6,1000.0,795.4,261.8,87.54,46.47,42.99,38.33,1.325,61440000.0,0.4182,19.44,0.0,0.0898843,0.275341,-0.105779
case_0557,geom_055,167.0,82.06,292.6,1000.0,795.4,261.8,87.54,46.47,42.99,38.33,16.91,10450000.0,0.184,14.87,0.0,0.043299,0.281946,-0.096296
case_0558,geom_055,167.0,82.06,292.6,1000.0,795.4,261.8,87.54,46.47,42.99,38.33,27.86,3430000.0,0.3619,7.391,0.0,0.0151349,0.147808,-0.0495422
case_0559,geom_055,167.0,82.06,292.6,1000.0,795.4,261.8,87.54,46.47,42.99,38.33,38.6,10460000.0,0.2062,-6.201,0.0,0.0140703,-0.118717,0.0397306
case_0561,geom_056,165.8,113.9,266.8,1000.0,812.8,204.2,67.1,54.83,54.27,30.18,13.12,9429000.0,0.1339,8.768,0.0,0.0211093,0.164678,-0.0675351
case_0562,geom_056,165.8,113.9,266.8,1000.0,812.8,204.2,67.1,54.83,54.27,30.18,10.52,2395000.0,0.4027,14.31,0.0,0.0436314,0.214324,-0.0874171
case_0563,geom_056,165.8,113.9,266.8,1000.0,812.8,204.2,67.1,54.83,54.27,30.18,23.99,26460000.0,0.3037,-1.456,0.0,0.00507124,-0.0258749,0.0102661
case_0564,geom_056,165.8,113.9,266.8,1000.0,812.8,204.2,67.1,54.83,54.27,30.18,35.04,2826000.0,0.2349,-5.739,0.0,0.0129637,-0.103782,0.0418842
case_0565,geom_056,165.8,113.9,266.8,1000.0,812.8,204.2,67.1,54.83,54.27,30.18,25.58,22930000.0,0.225,6.918,0.0,0.0127113,0.132474,-0.0540226
case_0566,geom_056,165.8,113.9,266.8,1000.0,812.8,204.2,67.1,54.83,54.27,30.18,0.9233,29850000.0,0.1499,12.87,0.0,0.0323087,0.2349,-0.0965356
case_0567,geom_056,165.8,113.9,266.8,1000.0,812.8,204.2,67.1,54.83,54.27,30.18,28.86,14270000.0,0.4398,-0.2575,0.0,0.00462077,-0.00279788,0.000906734
case_0568,geom_056,165.8,113.9,266.8,1000.0,812.8,204.2,67.1,54.83,54.27,30.18,38.04,3438000.0,0.08955,3.001,0.0,0.0162986,0.0584348,-0.0240749
case_0569,geom_056,165.8,113.9,266.8,1000.0,812.8,204.2,67.1,54.83,54.27,30.18,5.861,19410000.0,0.4707,19.19,0.0,0.0880971,0.271377,-0.12385
case_0570,geom_057,159.9,62.56,273.3,1000.0,716.4,210.5,60.22,51.64,48.06,26.48,7.129,26840000.0,0.1593,6.41,0.0,0.0117496,0.0993124,-0.0319559
case_0571,geom_057,159.9,62.56,273.3,1000.0,716.4,210.5,60.22,51.64,48.06,26.48,23.16,801000.0,0.4386,-2.331,0.0,0.00770297,-0.0332987,0.01033
case_0572,geom_057,159.9,62.56,273.3,1000.0,716.4,210.5,60.22,51.64,48.06,26.48,27.3,17790000.0,0.2582,1.714,0.0,0.00532862,0.0280046,-0.00889723
case_0573,geom_057,159.9,62.56,273.3,1000.0,716.4,210.5,60.22,51.64,48.06,26.48,34.14,2002000.0,0.1248,-5.142,0.0,0.0137664,-0.0743898,0.0238426
case_0574,geom_057,159.9,62.56,273.3,1000.0,716.4,210.5,60.22,51.64,48.06,26.48,15.38,17060000.0,0.3028,4.721,0.0,0.00680435,0.0748922,-0.0238062
case_0575,geom_057,159.9,62.56,273.3,1000.0,716.4,210.5,60.22,51.64,48.06,26.48,1.042,65180000.0,0.4016,10.32,0.0,0.0179253,0.127597,-0.0395637
case_0576,geom_057,159.9,62.56,273.3,1000.0,716.4,210.5,60.22,51.64,48.06,26.48,18.4,12560000.0,0.1952,17.97,0.0,0.0532145,0.213471,-0.07375
case_0577,geom_057,159.9,62.56,273.3,1000.0,716.4,210.5,60.22,51.64,48.06,26.48,39.39,4109000.0,0.07017,11.8,0.0,0.0335777,0.17505,-0.0584151
case_0580,geom_058,154.2,129.6,669.6,1000.0,570.8,243.1,62.45,57.76,49.85,28.39,16.83,14440000.0,0.4964,-6.304,0.0,0.0140783,-0.215455,0.107061
case_0581,geom_058,154.2,129.6,669.6,1000.0,570.8,243.1,62.45,57.76,49.85,28.39,36.75,14410000.0,0.2172,13.87,0.0,0.0630942,0.337352,-0.159602
case_0582,geom_058,154.2,129.6,669.6,1000.0,570.8,243.1,62.45,57.76,49.85,28.39,20.89,17660000.0,0.3453,2.984,0.0,0.0101575,0.112715,-0.0572168
case_0583,geom_058,154.2,129.6,669.6,1000.0,570.8,243.1,62.45,57.76,49.85,28.39,1.325,34510000.0,0.1804,5.939,0.0,0.0159745,0.2084,-0.104633
case_0584,geom_058,154.2,129.6,669.6,1000.0,570.8,243.1,62.45,57.76,49.85,28.39,7.007,51920000.0,0.4205,19.24,0.0,0.113017,0.399213,-0.198037
case_0585,geom_058,154.2,129.6,669.6,1000.0,570.8,243.1,62.45,57.76,49.85,28.39,30.29,2597000.0,0.1028,10.38,0.0,0.0389916,0.327447,-0.161762
case_0586,geom_058,154.2,129.6,669.6,1000.0,570.8,243.1,62.45,57.76,49.85,28.39,13.83,8115000.0,0.07019,-9.389,0.0,0.0401409,-0.287881,0.141777
case_0587,geom_058,154.2,129.6,669.6,1000.0,570.8,243.1,62.45,57.76,49.85,28.39,24.43,2792000.0,0.3181,-2.95,0.0,0.0113026,-0.0892168,0.0438974
case_0588,geom_058,154.2,129.6,669.6,1000.0,570.8,243.1,62.45,57.76,49.85,28.39,35.58,8472000.0,0.2611,14.6,0.0,0.0578559,0.378506,-0.180783
case_0589,geom_058,154.2,129.6,669.6,1000.0,570.8,243.1,62.45,57.76,49.85,28.39,9.281,38570000.0,0.3705,0.2959,0.0,0.00542253,0.021419,-0.0115445
case_0590,geom_059,163.1,102.1,482.4,1000.0,708.9,199.2,82.48,48.83,51.28,30.97,29.68,1177000.0,0.1369,17.75,0.0,0.0781089,0.332688,-0.130968
case_0592,geom_059,163.1,102.1,482.4,1000.0,708.9,199.2,82.48,48.83,51.28,30.97,21.66,8452000.0,0.3069,-5.304,0.0,0.0104465,-0.125247,0.0490784
case_0594,geom_059,163.1,102.1,482.4,1000.0,708.9,199.2,82.48,48.83,51.28,30.97,25.39,4038000.0,0.2086,11.25,0.0,0.0289319,0.253944,-0.0993194
case_0595,geom_059,163.1,102.1,482.4,1000.0,708.9,199.2,82.48,48.83,51.28,30.97,4.038,40080000.0,0.4503,2.358,0.0,0.00488266,0.0698881,-0.02824
case_0596,geom_059,163.1,102.1,482.4,1000.0,708.9,199.2,82.48,48.83,51.28,30.97,14.86,11190000.0,0.09105,1.007,0.0,0.0157473,0.0298264,-0.012101
case_0597,geom_059,163.1,102.1,482.4,1000.0,708.9,199.2,82.48,48.83,51.28,30.97,38.88,8063000.0,0.3852,15.02,0.0,0.0578827,0.240784,-0.0926283
case_0598,geom_059,163.1,102.1,482.4,1000.0,708.9,199.2,82.48,48.83,51.28,30.97,19.89,31310000.0,0.2615,-7.532,0.0,0.0134109,-0.183588,0.072345
case_0599,geom_059,163.1,102.1,482.4,1000.0,708.9,199.2,82.48,48.83,51.28,30.97,35.36,15470000.0,0.3565,7.312,0.0,0.0128834,0.192161,-0.0764328
case_0601,geom_060,119.9,155.9,698.7,1000.0,623.7,275.5,66.05,40.95,42.7,37.83,12.94,11120000.0,0.1291,-1.593,0.0,0.0138409,-0.0477032,0.019495
case_0602,geom_060,119.9,155.9,698.7,1000.0,623.7,275.5,66.05,40.95,42.7,37.83,16.95,14060000.0,0.2834,17.35,0.0,0.100398,0.447083,-0.172008
case_0603,geom_060,119.9,155.9,698.7,1000.0,623.7,275.5,66.05,40.95,42.7,37.83,22.26,5501000.0,0.1701,-4.161,0.0,0.0152584,-0.139491,0.0580192
case_0604,geom_060,119.9,155.9,698.7,1000.0,623.7,275.5,66.05,40.95,42.7,37.83,38.46,332800.0,0.3336,-7.162,0.0,0.0248446,-0.214856,0.084915
case_0606,geom_060,119.9,155.9,698.7,1000.0,623.7,275.5,66.05,40.95,42.7,37.83,31.4,2701000.0,0.06236,3.306,0.0,0.0290228,0.126306,-0.0537957
case_0607,geom_060,119.9,155.9,698.7,1000.0,623.7,275.5,66.05,40.95,42.7,37.83,24.86,9565000.0,0.4385,9.047,0.0,0.0242373,0.332205,-0.137622
case_0608,geom_060,119.9,155.9,698.7,1000.0,623.7,275.5,66.05,40.95,42.7,37.83,33.22,26990000.0,0.4968,7.62,0.0,0.0190175,0.295536,-0.121284
case_0609,geom_060,119.9,155.9,698.7,1000.0,623.7,275.5,66.05,40.95,42.7,37.83,11.26,30820000.0,0.2214,13.05,0.0,0.0520732,0.413829,-0.16374
case_0610,geom_061,190.7,75.8,624.2,1000.0,584.4,245.8,84.7,41.59,56.05,25.08,8.801,14550000.0,0.236,11.14,0.0,0.0318786,0.324193,-0.122375
case_0611,geom_061,190.7,75.8,624.2,1000.0,584.4,245.8,84.7,41.59,56.05,25.08,32.32,1609000.0,0.1763,10.2,0.0,0.0315915,0.300716,-0.114724
case_0612,geom_061,190.7,75.8,624.2,1000.0,584.4,245.8,84.7,41.59,56.05,25.08,17.65,35120000.0,0.2881,-2.5,0.0,0.00718347,-0.0740355,0.028101
case_0613,geom_061,190.7,75.8,624.2,1000.0,584.4,245.8,84.7,41.59,56.05,25.08,26.27,10340000.0,0.4111,19.88,0.0,0.121157,0.392434,-0.156599
case_0614,geom_061,190.7,75.8,624.2,1000.0,584.4,245.8,84.7,41.59,56.05,25.08,14.05,12160000.0,0.1366,-4.37,0.0,0.015699,-0.129345,0.04938
case_0617,geom_061,190.7,75.8,624.2,1000.0,584.4,245.8,84.7,41.59,56.05,25.08,36.68,7294000.0,0.1971,-7.154,0.0,0.0189495,-0.214401,0.0817718
case_0618,geom_061,190.7,75.8,624.2,1000.0,584.4,245.8,84.7,41.59,56.05,25.08,21.4,9690000.0,0.4884,0.8874,0.0,0.00802074,0.0403109,-0.016177
case_0619,geom_061,190.7,75.8,624.2,1000.0,584.4,245.8,84.7,41.59,56.05,25.08,5.706,74200000.0,0.3756,7.943,0.0,0.0167507,0.27041,-0.104779
case_0620,geom_062,165.5,170.7,220.0,1000.0,681.6,237.0,77.86,58.09,51.56,25.46,12.57,4681000.0,0.0879,7.095,0.0,0.025101,0.158945,-0.0732733
case_0622,geom_062,165.5,170.7,220.0,1000.0,681.6,237.0,77.86,58.09,51.56,25.46,36.74,9864000.0,0.2291,17.55,0.0,0.0686386,0.333537,-0.154788
case_0623,geom_062,165.5,170.7,220.0,1000.0,681.6,237.0,77.86,58.09,51.56,25.46,5.3,46650000.0,0.2582,3.563,0.0,0.00776355,0.0818318,-0.037641
case_0624,geom_062,165.5,170.7,220.0,1000.0,681.6,237.0,77.86,58.09,51.56,25.46,31.39,6306000.0,0.3267,13.57,0.0,0.039844,0.275489,-0.12525
case_0625,geom_062,165.5,170.7,220.0,1000.0,681.6,237.0,77.86,58.09,51.56,25.46,1.878,25590000.0,0.1634,-9.075,0.0,0.0226251,-0.19783,0.0901351
case_0626,geom_062,165.5,170.7,220.0,1000.0,681.6,237.0,77.86,58.09,51.56,25.46,23.63,8518000.0,0.1216,-5.349,0.0,0.0174002,-0.116824,0.0532198
